"";"position";"plate_position";"tray";"pot";"genotype";"treatment";"weight.only.";"weight";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"hits_ratio";"bacterial_load"
"374";"3_27";"p1_G11";3;27;"Col0_acd6";"#2";NA;177;0,00029531535613783;0,00029531535613783;0,00029531535613783;0,00029531535613783;0,00118126142455132;0,00738288390344576;0,000885946068413491;0,00502036105434312;0,00147657678068915;0,00561099176661877;0,00413441498592962;0,00442973034206745;0,00324846891751613;0,0124032449577888;0,00786246;0,046955141625915
"272";"2_4";"p1_C9";2;4;"Col0_acd6";"#2";NA;142;0,000380757758049036;0,0000634596263415059;0,000126919252683012;0,000126919252683012;0,000698055889756565;0,00266530430634325;0,000824975142439574;0,00602866450244306;0,00101535402146409;0,00793245329268827;0,00894780731415233;0,00799591291902977;0,00298260243805077;0,0366162043990489;0,0630097;0,0764053901151731
"57";"11_10";"p4_D2";11;10;"Col0_acd6";"#2";NA;147;0,000218165952200369;0,0000945385792868263;0,0000509053888467528;0,000145443968133579;0,000341793325113911;0,00135990110204897;0,000625409062974391;0,00840666135812088;0,00150534507018255;0,00493782271813502;0,0142680532739041;0,0143262308611576;0,00325794488619218;0,0345283980349117;0,173327;0,0840666135812088
"444";"7_42";"p3_B2";7;42;"Col0_acd6";"#2";NA;87;0,00700651576664689;0,00184381993859129;0,00405640386490083;0,0025813479140278;0,0125379755824207;0,0383514547226988;0,00995662766839292;0,0283948270543058;0,0092190996929564;0,068590101715596;0,0962474007944648;0,0947723448435919;0,0265510071157145;0,269566475022046;0,121875;0,669675401696355
"490";"9_40";"p3_H4";9;40;"Col0_acd6";"#2";NA;115;0,0298872514722107;0,00373590643402634;0,00373590643402634;0,00373590643402634;0,0149436257361053;0,0560385965103951;0,0186795321701317;0,414685614176923;0,123284912322869;0,672463158124742;0,799483976881638;0,642575906652528;0,369854736968607;2,26395929901996;0,0227752;5,41706432933819
"156";"15_25";"p5_H2";15;25;"Col0_acd6";"#3";NA;42;0,000934215060430208;0,000934215060430208;0;0,000934215060430208;0,00280264518129063;0,0144803334366682;0,00373686024172083;0,000467107530215105;0;0;0;0;0;0,00373686024172083;0,00731976;0,0280264518129063
"139";"14_11";"p5_D6";14;11;"Col0_acd6";"#3";NA;64;0,00576006766889186;0,000822866809841695;0,000822866809841695;0;0,00246860042952508;0,0139887357673088;0,00288003383444593;0,000411433404920847;0;0;0,000411433404920847;0;0;0,00123430021476254;0,00897896;0,0288003383444593
"309";"21_19";"p7_H6";21;19;"Col0_acd6";"#3";NA;64;0,00251130434766751;0,00251130434766751;0,000976618357426255;0,00251130434766751;0,00209275362305626;0,0163234782598388;0,00334840579689002;0,000418550724611252;0;0,000558067632815003;0,00181371980664876;0,000279033816407502;0,000279033816407502;0,00209275362305626;0,0178385;0,0357163285001602
"20";"1_49";"p1_C2";1;49;"Col0_acd6";"#3";NA;163;0,00194968241288056;0,00158863011419898;0,000433262758417901;0,000505473218154218;0,00570462631916903;0,0154530383835718;0,0457092210130885;0,00231073471156215;0,000577683677890535;0,00361052298681585;0,00491031126206954;0,00411599620497007;0,00310504976866162;0,0164639848198803;0,107515;0,106438217651331
"180";"16_33";"p6_C3";16;33;"Col0_acd6";"#3";NA;118;0,000975016618351888;0,000975016618351888;0;0;0,00487508309175943;0,0614260469561689;0,0321755484056123;0,0214503656037416;0,00390006647340755;0,008775149565167;0,00487508309175943;0,00975016618351888;0;0,0409506979707792;0,00387479;0,190128240578618
"229";"18_52";"p7_A9";18;52;"Col0_acd6";"#3";NA;173;0,0020182805793151;0,00138092881742612;0,000849802349185305;0,00297430822214855;0,027406125761226;0,106012843060867;0,00223073116661142;0,00212450587296326;0,00148715411107428;0,0114723317140016;0,0168898216900579;0,0109412052457608;0,00276185763485223;0,0626729232524161;0,0243803;0,251222819477905
"268";"2_31";"p1_E1";2;31;"Col0_acd6";"#3";NA;100;0,0154165051933358;0,00379483204759034;0,000474354005948793;0,00260894703271837;0,0132819121665662;0,0917875001510915;0,0460123385770331;0,00189741602379517;0,000948708011897586;0,00996143412492466;0,0156536821963102;0,0116216731457454;0,00118588501487198;0,0445892765591866;0,0352743;0,259234464251016
"386";"3_53";"p1_H12";3;53;"Col0_acd6";"#3";NA;185;0,000999846482764237;0,0011426816945877;0,00314237466011618;0,00171402254188155;0,0449930917243906;0,142406706187992;0,0347089564731013;0,00699892537934966;0,00257103381282232;0,00328520987193963;0,00428505635470388;0,00485639720199772;0,00128551690641116;0,0217109521971663;0,0853458;0,274100771489224
"472";"8_9";"p3_C1";8;9;"Col0_acd6";"#3";NA;148;0,0182880203415637;0,0162426496454677;0,00962527386398088;0,0178067566483646;0,0114300127134773;0,0397042546889212;0,00914401017078183;0,0238225528133527;0,0139566471027722;0,0309211922880385;0,0401855183821202;0,0338087744472328;0,0193708636512615;0,0780850342215449;0,239194;0,36239156097888
"479";"9_2";"p3_F6";9;2;"Col0_acd6";"#3";NA;188;0,0185258647513966;0,0165121838001578;0,0111423679301878;0,0169149199904056;0,0251038891921099;0,0403407417231497;0,0126861899928042;0,0365147479157962;0,0206737910993846;0,0283929014124665;0,0381928153751618;0,040139373628026;0,0263792204612278;0,0688678885323655;0,266506;0,40038689580464
"108";"12_38";"p4_H5";12;38;"Col0_acd6";"#3";NA;95;0,026290593517824;0,00692554225217845;0,00604330757037228;0,00966046976577763;0,0532428630470026;0,209354289992605;0,0515225054174807;0,00855767641351991;0,00299959791814099;0,0158802242725111;0,0131011850248217;0,0176446936361235;0,00357305046131501;0,0456556447834695;0,0588294;0,470451644073142
"122";"13_3";"p5_A6";13;3;"Col0_acd6";"#3";NA;95;0,0033009941237685;0,000521209598489761;0,000347473065659842;0,00104241919697953;0,00625451518187715;0,216996929504571;0,197190964761961;0,0145938687577134;0,00191110186112913;0,00260604799244881;0,0119878207652646;0,00799188051017637;0,00434341332074803;0,0423917140105008;0,00436205;0,511480352651288
"69";"11_28";"p4_E2";11;28;"Col0_acd6";"#3";NA;83;0,0266302322577991;0,00198440553162993;0,000930955681505398;0,0039198133958122;0,00639419560191866;0,0578907440894015;0,749149836440883;0,0388306514522646;0,00840309996727242;0,0343963625482521;0,0320934721782124;0,0249888103983028;0,0100200229930449;0,20495724293353;0,588268;1,20058984546983
"445";"7_43";"p3_B3";7;43;"Col0_acd6";"#3";NA;99;0,0321177005359453;0,0122137734432468;0,0124399544329365;0,0131184974020058;0,567261922141905;0,236359134225794;0,151767444081826;0,0339271484534632;0,0167373932370418;0,0447838359585715;0,0784848034223451;0,0952221966593869;0,0208086510514575;0,275714626431811;0,121314;1,59095708147774
"43";"10_36";"p4_B10";10;36;"Col0_acd6";"#3";NA;110;0,0242509349894794;0,00514824318212413;0,00861051198881578;0,00809869833913092;0,076997847592295;1,09613925085594;0,0572779687367904;0,031657179567272;0,0241606149336527;0,0427966531192364;0,0535898997905318;0,0516781252755325;0,017266184005545;0,1927580524769;0,468053;1,69043016485325
"4";"1_18";"p1_A7";1;18;"Col0_ics1";"#1";NA;73;0,00125199608809357;0,000441880972268318;0,000147293657422773;0,000405057557912626;0,00121517267373788;0,00637045068353494;0,0086535023735879;0,000257763900489854;0,00022094048613416;0,000773291701469557;0,0011047024306708;0,000736468287113864;0,00022094048613416;0,00287222631974407;0,00594418;0,0246716876183145
"323";"21_8";"p7_H2";21;8;"Col0_ics1";"#1";NA;34;0,000357814721107814;0,000357814721107814;0,00107344416332344;0;0,00393596193218595;0,0218266979875767;0,00178907360553907;0,00107344416332344;0,000357814721107814;0,00143125888443126;0,0025047030477547;0,000357814721107814;0;0,00286251776886252;0,00311544;0,0379283604374284
"158";"15_35";"p5_H7";15;35;"Col0_ics1";"#1";NA;31;0,00945080532061154;0,0132311274488561;0,00567048319236692;0,00567048319236692;0,0113409663847338;0,0472540266030576;0,00567048319236692;0;0;0,00378032212824461;0;0;0,00189016106412231;0,00189016106412231;0,0140895;0,105849019590849
"295";"20_31";"p7_F4";20;31;"Col0_ics1";"#1";NA;61;0,0177355791924595;0,00118237194616396;0;0,00354711583849189;0,0130060914078036;0,0685775728775098;0,0283769267079351;0;0;0;0,00945897556931171;0;0;0,00472948778465584;0,00384116;0,146614121324331
"363";"3_1";"p1_F4";3;1;"Col0_ics1";"#1";NA;33;0,0184789424299105;0,00898975577671323;0,0109874792826495;0,0389556083657573;0,00549373964132475;0,113870239838368;0,00699203227077695;0,00199772350593627;0;0,00299658525890441;0,00499430876484069;0,00249715438242034;0,000998861752968138;0,0114869101591336;0,00712548;0,228739341429703
"352";"23_20";"p8_F7";23;20;"Col0_ics1";"#1";NA;37;0,115667243897535;0,00407801180407977;0,0055609251873815;0,00667311022485781;0,0133462204497156;0,0207607873662243;0,0830431494648971;0,000370728345825433;0;0;0;0;0;0,000741456691650866;0,215162;0,250241633432168
"239";"19_21";"p7_C1";19;21;"Col0_ics1";"#1";NA;10;0,00337802959538617;0,0076005665896189;0,00675605919077235;0,00211126849711636;0,0190014164740472;0,256307995549926;0,0076005665896189;0;0;0;0;0,00126676109826982;0;0;0,0073192;0,304022663584756
"498";"9_55";"p4_A1";9;55;"Col0_ics1";"#1";NA;23;0,0580709552896642;0,0137818373195592;0,00813767533434452;0,0137548317598213;0,0815207829953807;0,27268413852651;0,0373036798512431;0,00061212602072503;0,000315064863608472;0,000909187177841589;0,00146730207909089;0,00188138732840488;0,000261053744132734;0,00318665604906855;0,477527;0,493886678339395
"210";"17_51";"p6_G1";17;51;"Col0_ics1";"#1";NA;18;0,038085668564805;0,0333249599942044;0,0238035428530032;0,15234267425922;0,0428463771354056;0,564937417044607;0,244383039957498;0;0;0;0,00158690285686688;0,00158690285686688;0;0,00317380571373375;0,00415677;1,10607129123621
"281";"2_51";"p1_F1";2;51;"Col0_ics1";"#1";NA;34;0,0182232460523238;0,0121488307015492;0,0121488307015492;0,194381291224788;0,0485953228061969;0,716781011391405;0,0668185688585208;0,00607441535077462;0;0,0121488307015492;0,0182232460523238;0,0485953228061969;0,00607441535077462;0,0485953228061969;0,0214759;1,20880865480415
"329";"22_18";"p8_C7";22;18;"Col0_ics1";"#1";NA;25;0,00592136333322931;0,00552660577768069;0,00197378777774311;0,00631612088877795;0,971498344205157;0,410153100215018;0,0300015742216952;0,000394757555548621;0;0,000789515111097242;0,000394757555548621;0,000394757555548621;0,000394757555548621;0,000789515111097242;0,00393879;1,43454895686369
"51";"10_48";"p4_C6";10;48;"Col0_ics1";"#1";NA;31;0,0760335227227161;0,0253445075742388;0,0228100568168149;0,0418184374974939;0,534769109816435;0,32060802081412;0,300332414754729;0,020275606059391;0,00126722537871193;0,0316806344677983;0,019008380680679;0,0354823106039342;0,00760335227227161;0,0785679734801399;0,496096;1,51560155293947
"459";"8_30";"p3_D12";8;30;"Col0_ics1";"#1";NA;22;0,224063213899544;0,158162268634972;0,0369045293481601;0,0685369830751546;0,239879440763042;1,49463343860049;0,0342684915375772;0,00263603781058287;0,00263603781058287;0,00263603781058287;0,00263603781058287;0,00790811343174859;0;0,0237243402952458;0,51404;2,29862497082826
"102";"12_26";"p4_G11";12;26;"Col0_ics1";"#1";NA;15;0,12456449188119;0,0662559285224328;0,0415772682773348;0,0398204822937855;0,715681147107844;1,79418042805634;1,1691829002898;0,0020914118851778;0,00125484713110668;0,00543767090146231;0,0041828237703556;0,00426648024576272;0,00192409893436358;0,0146398831962446;0,382597;3,9850598624932
"88";"11_9";"p4_D1";11;9;"Col0_ics1";"#1";NA;3;1,25826303949428;0,132246013334603;0,450021627900762;0,18424565935452;0,926257069124324;3,8335294593572;0,27882937762943;0,00524276266455951;0,00449379656962244;0,0162632637757765;0,0123044429882519;0,0134813897088673;0,00417281110036369;0,0453659463219027;0,632211;7,16471665932446
"262";"2_18";"p1_D8";2;18;"Col0_ics1";"#2";NA;58;0,00140963140763299;0,000201375915376142;0;0;0,00140963140763299;0,0052357737997797;0,00161100732300914;0,00261788689988985;0,000604127746128426;0,00362476647677055;0,00604127746128426;0,00463164605365126;0,00100687957688071;0,0130894344994492;0,00803884;0,0414834385674852
"170";"16_11";"p6_B2";16;11;"Col0_ics1";"#2";NA;91;0,00141154855392926;0,00070577427696463;0,00070577427696463;0;0;0,00352887138482316;0,00352887138482316;0,0112923884314341;0,00141154855392926;0,00423464566178779;0,00141154855392926;0,0176443569241157;0,00423464566178779;0,0296425196325145;0,0011465;0,0797524932970033
"64";"11_19";"p4_D9";11;19;"Col0_ics1";"#2";NA;66;0,000288700940918195;0,0000962336469727314;0,0000481168234863658;0,000204496499817055;0,000360876176147744;0,00196076055706941;0,00066160632293753;0,00600257372992413;0,00169611802789439;0,00768666255194694;0,00951510184442887;0,012426169665354;0,00417413443744223;0,0406707450518507;0,555741;0,0857922962761902
"30";"10_17";"p4_A10";10;17;"Col0_ics1";"#2";NA;47;0,000993823610569393;0,000295461073412523;0,000564062049242088;0,000402901463744349;0,000913243317820525;0,00529143922384246;0,00206822751388766;0,0338168628569423;0,00556004019967201;0,0248455902642349;0,0506044238462901;0,0484287559420708;0,0141284113286352;0,158340275251529;0,417068;0,346253517941894
"1";"1_1";"p1_A1";1;1;"Col0_ics1";"#3";NA;97;0,00563861475280674;0,00689164025343046;0,00375907650187116;0,00501210200249488;0,00814466575405418;0,0332051757665286;0,00626512750311859;0,00751815300374233;0,00563861475280674;0,0106507167553016;0,0125302550062372;0,0125302550062372;0,00375907650187116;0,0169158442584202;0,0123422;0,138459317818921
"145";"14_22";"p5_E3";14;22;"Col0_ics1";"#3";NA;114;0,0164208055109253;0,00469165871740723;0;0,00703748807611085;0,0211124642283326;0,0680290514024049;0,0187666348696289;0;0;0;0,00234582935870362;0;0,00234582935870362;0,00703748807611085;0,00237342;0,147787249598328
"111";"12_52";"p4_H12";12;52;"Col0_ics1";"#3";NA;68;0,0158839989175759;0,00718561855795099;0,00605104720669555;0,00832018990920639;0,0283642837813854;0,114969896927216;0,0450046635997981;0,00567285675627707;0,00416009495460319;0,0121020944133911;0,0155058084671574;0,0139930466654835;0,00264733315292931;0,048030187203146;0,275238;0,327891120512816
"345";"22_53";"p8_E3";22;53;"Col0_ics1";"#3";NA;79;0,0244361098732514;0,0109541182190437;0,0109541182190437;0,0210656119596995;0,0539279666168307;0,13734778997724;0,0294918567435792;0,00926886926226774;0,0126393671758196;0,00758362030549179;0,0193803630029235;0,0168524895677595;0,00842624478387977;0,0294918567435792;0,120811;0,39182038245041
"252";"19_48";"p7_D5";19;48;"Col0_ics1";"#3";NA;58;0,0115981185137891;0;0,000483254938074545;0,00410766697363364;0,0485671212764918;0,0855361240391945;0,369931655096065;0,0152225305493482;0,0111148635757146;0,00942347129245362;0,0118397459828264;0,0241627469037273;0,00120813734518637;0,0459092191170818;0,0990588;0,639104655603587
"286";"2_8";"p1_D1";2;8;"Col0_ics1";"#3";NA;47;0,0213679021898269;0,00356131703163781;0,0071226340632756;0,00534197554745672;0,0516390969587483;0,324079849879041;0,0747876576643941;0,0178065851581891;0,0071226340632756;0,0142452681265513;0,0160259266423701;0,0462971214112916;0,0071226340632756;0,0534197554745672;0,136797;0,649940358273901
"55";"10_55";"p4_C9";10;55;"Col0_ics1";"#3";NA;89;0,0172441158558681;0,00385069875256038;0,00507824598297811;0,0108944816699573;0,0735066972500139;0,239313255301437;0,119634707164461;0,0168933880757487;0,0120635742703552;0,0390623065107927;0,0361249613522932;0,0389673177370104;0,0109090953274623;0,119028240378005;0,609722;0,742571085628943
"299";"20_44";"p7_F11";20;44;"Col0_ics1";"#3";NA;100;0,0142555835841603;0;0,0142555835841603;0;0;0,570223343366412;0;0,0285111671683206;0;0,0855335015049617;0,0142555835841603;0,0142555835841603;0;0,0285111671683206;0,000835655;0,769801513544656
"480";"9_24";"p3_F3";9;24;"Col0_ics1";"#3";NA;142;0,00685329872352997;0,000496615849531158;0,00034763109467181;0,00228443290784333;0,00486683532540534;0,0122167498984665;0,00198646339812463;0,075485609128736;0,0395802832076332;0,350710112938904;0,243441089440174;0,261319260023296;0,214240077487741;0,548611528977069;0,0316195;1,76243998840112
"133";"13_5";"p5_A7";13;5;"Col0_ics1";"#3";NA;63;0,0030005553658077;0,00375069420725962;0,00375069420725962;0,00250046280483975;0,176282627741202;0,974180308765566;1,45952013918496;0,0412576362798557;0,0422578214017918;0,0882663370108432;0,124773093961504;0,0925171237790706;0,0457584693285674;0,514095152675052;0,0000865501;3,57191111671358
"58";"11_11";"p4_D3";11;11;"Col0_ics1";"#3";NA;26;0,0212104310915926;0,00963107962911137;0,00646973288062444;0,0146671785191429;0,394690465564003;1,84501342620126;1,07754136323718;0,0927818510835002;0,666161927628844;0,686490122418529;0,222360307925553;0,176300220997016;0,0917158155520338;0,587532617221707;0,644668;5,8925665399501
"431";"7_22";"p3_A1";7;22;"Col0_ics1";"#3";NA;30;0,153772427501869;0,020930911184465;0,138423092633262;0,138981250264847;0,886075240142353;2,76455474924413;0,599461296323077;0,475550302111045;0,154609663949248;0,0747931226324883;1,10571026817134;1,7015435398891;0,0739558861851096;0,504853577769295;0,364069;8,79321532800164
"470";"8_53";"p3_E3";8;53;"Col0_ics1";"#3";NA;30;0,0650344510493588;0,0395861875952619;0,285182126961784;0,034738899318291;3,27959446006052;2,7189247826909;0,147438351757863;0,077960553121281;0,216108269014949;0,196719115907067;0,956935494011994;1,03731969127176;0,140571360032154;1,7619892886789;0,0443638;10,9581030314721
"9";"1_30";"p1_A12";1;30;"Eyach";"#1";NA;108;0,0205132526981389;0,00582475076613821;0,00582475076613821;0,0108897514323453;0,0017727502331725;0,0536890070617956;0,00633125083275892;0;0;0,000253250033310357;0,00101300013324143;0,00151950019986214;0;0,000506500066620714;0,235284;0,108137764223522
"291";"20_21";"p7_E11";20;21;"Eyach";"#1";NA;95;0,139301674642366;0,00376491012546936;0,0150596405018775;0,00752982025093872;0,00752982025093872;0,0112947303764081;0,0640034721329792;0;0;0;0,00376491012546936;0,00376491012546936;0;0,0112947303764081;0,00602935;0,267308618908325
"367";"3_14";"p1_G4";3;14;"Eyach";"#1";NA;102;0,155501064793351;0,0262964517027371;0,043689380388012;0,00144941072377291;0,0795105311326854;0,0267105690523865;0,00414117349649404;0,000414117349649404;0,000207058674824702;0,000414117349649404;0,000621176024474104;0,00165646939859761;0,000621176024474104;0,00269176277272112;0,172916;0,343924458883829
"241";"19_25";"p7_C4";19;25;"Eyach";"#1";NA;71;0,0678962926064507;0,0246895609478004;0,0154309755923752;0,112646121824339;0,0108016829146627;0,294731633814367;0,0154309755923752;0,00308619511847504;0;0,00462929267771257;0,0200602682700878;0;0;0,00771548779618764;0,0208943;0,577118487154833
"82";"11_50";"p4_F3";11;50;"Eyach";"#1";NA;64;0,327045130309082;0,0173480171405627;0,00385079304241188;0,183457226106421;0,0953946458233853;0,340542354407233;0,0111245132336344;0,00126414923109481;0,000700144189529433;0,0042008651371766;0,00361741164590208;0,00328678800084651;0,00206153566917;0,00964643105573886;0,393491;1,00354000499219
"209";"17_5";"p6_D6";17;5;"Eyach";"#1";NA;53;0,505113879602933;0,0203381189503584;0,160580073503576;0,0406762379007169;0,0488721962836971;0,434234017290862;0,0207934499716352;0;0;0;0,00303554014184454;0,000303554014184454;0;0,0016695470780145;0,00289874;1,23561661473782
"496";"9_53";"p3_H11";9;53;"Eyach";"#1";NA;55;0,555987784136462;0,0181865163035291;0,0155884425458821;0,0337749588494112;0,0519614751529403;0,27799389206823;0,563782005409404;0,00259807375764702;0,00259807375764702;0,00519614751529403;0,00779422127294105;0,0129903687882351;0,00259807375764702;0,0467653276376463;0,0161375;1,59781536095292
"56";"10_7";"p4_A6";10;7;"Eyach";"#1";NA;18;0,933502863061391;0,510710031960569;0,125970273630507;0,217709961484159;0,25511879487392;0,546057299331148;0,399256619048478;0,00214746460331583;0,00146027593025476;0,00571225584482011;0,00704368389887592;0,00528276292415693;0,00167502239058634;0,0209163052362962;0,385219;3,03256361421848
"280";"2_5";"p1_C10";2;5;"Eyach";"#1";NA;56;0,641963250360698;0,0794612492303144;0,0125465130363654;0,106645360809106;1,4282114006396;0,317844996921257;0,330391509957624;0,0104554275303045;0,00418217101212181;0,00418217101212181;0,0125465130363654;0,0334573680969744;0;0,0815523347363753;0,0397683;3,06344026637923
"118";"13_2";"p5_A5";13;2;"Eyach";"#1";NA;44;0,0534684775969729;0,0818816782523688;0,0133025439432082;0,0377120663244348;1,08241379405852;2,39368300430506;0,00555348921900924;0,000129150912069982;0;0,000129150912069982;0,000774905472419894;0,00051660364827993;0,000129150912069982;0,00154981094483979;0,154305;3,67124382650132
"432";"7_23";"p3_A2";7;23;"Eyach";"#1";NA;39;14,251084871941;0,0798281743434503;0,0905967843721855;0,493249159359677;1,07756330352757;1,66164334747745;0,11189990421164;0,00397970370627172;0,0014046013080959;0,00749120697651147;0,0105345098107192;0,013577812644927;0,00374560348825573;0,0313694292141418;0,617157;17,8379684123819
"144";"14_21";"p5_E2";14;21;"Eyach";"#2";NA;190;0;0;0;0;0;0,00219667570432581;0,00313810814903687;0,000627621629807373;0,000313810814903687;0;0,00156905407451843;0,00345191896394056;0;0,00659002711297742;0,00995722;0,0178872164495101
"25";"1_55";"p1_C7";1;55;"Eyach";"#2";NA;150;0;0,000253531404525171;0;0;0,000507062809050341;0,00202825123620137;0;0,00126765702262585;0,000253531404525171;0,00659181651765445;0,00532415949502857;0,00380297106787757;0,00329590825882721;0,00405650247240273;0,0652217;0,0273813916887184
"306";"20_6";"p7_E2";20;6;"Eyach";"#2";NA;197;0;0;0;0;0,000632113548890721;0,00252845419556288;0,00126422709778144;0,000632113548890721;0;0,000632113548890721;0,00252845419556288;0,00948170323336081;0;0,022756087760066;0,0577018;0,0404552671290061
"33";"10_22";"p4_A12";10;22;"Eyach";"#2";NA;124;0,000296044813861375;0,000338336930127286;0,000126876348797733;0,000211460581329554;0,000380629046393197;0,00283357178981603;0,00114188713917959;0,00342566141753878;0,000718965976520485;0,00757028881159802;0,00490588548684565;0,00456754855671836;0,00224148216209327;0,0213998108305508;0,278715;0,0501584498913702
"60";"11_14";"p4_D5";11;14;"Eyach";"#2";NA;216;0,000112686659865869;0,0000456837810267033;0,0000365470248213627;0,0000395926102231429;0,00013705134308011;0,000688302300802333;0,000304558540178023;0,00453183107784898;0,000526886274507979;0,00489425574066082;0,00982505850614298;0,0101631184857406;0,00344455708941343;0,0197232110619287;0,561808;0,0544733404962411
"368";"3_2";"p1_F5";3;2;"Eyach";"#2";NA;179;0;0;0;0,000251093773926171;0,000502187547852343;0,000753281321778515;0,000251093773926171;0,00878828208741601;0,00251093773926171;0,00878828208741601;0,0100437509570469;0,00803500076563749;0,00301312528711406;0,0477078170459726;0,00188125;0,090644852387348
"273";"2_40";"p1_E6";2;40;"Eyach";"#2";NA;230;0,000487372303692793;0,0000974744607385587;0,0000974744607385587;0,000487372303692793;0,00146211691107838;0,00604341656579063;0,00204696367550973;0,00438635073323514;0,000974744607385587;0,00818785470203893;0,00945502269164018;0,0231014471950384;0,00214443813624829;0,0538059023276844;0,0454455;0,112777951074512
"112";"12_7";"p4_F10";12;7;"Eyach";"#2";NA;141;0,000614900495850132;0,000204966831950044;0,0000970895519763368;0,000237330015942156;0,000517810943873796;0,00320395521521911;0,00115428689571867;0,0216833332747152;0,00802606963004383;0,0149949419163453;0,023571185674255;0,0258258208257056;0,0101944029575154;0,103821094246696;0,448129;0,214147188475807
"437";"7_30";"p3_B6";7;30;"Eyach";"#2";NA;113;0,00388721316195777;0,0012147541131118;0,0012147541131118;0,000485901645244721;0,00485901645244721;0,0199219674550336;0,00364426233933541;0,0238091806169913;0,00583081974293663;0,0340131151671305;0,0840609846273368;0,0845468862725813;0,0143340985347193;0,289840331388476;0,15542;0,571663285630414
"187";"16_53";"p6_D3";16;53;"Eyach";"#3";NA;105;0,00703911406841462;0,00439944629275914;0,00175977851710365;0,000879889258551827;0,00571928018058687;0,0180377298003125;0,0123184496197256;0,00351955703420731;0,00263966777565548;0,00571928018058687;0,00923883721479423;0,00615922480986279;0,00175977851710365;0,0127583942490015;0,00575495;0,0919484275186659
"165";"15_6";"p5_G2";15;6;"Eyach";"#3";NA;78;0,00347109146362198;0;0;0,00173554573181099;0,00433886432952748;0,0390497789657473;0,00780995579314947;0,00260331859771649;0;0,00694218292724397;0,0182232301840155;0,00607441006133848;0,00347109146362198;0,012148820122677;0,00752884;0,105868289640471
"420";"5_9";"p2_C12";5;9;"Eyach";"#3";NA;90;0;0;0;0;0,0070967416712411;0,0496771916986877;0,00177418541781027;0,00177418541781027;0;0,00532255625343082;0,0106451125068616;0,00354837083562055;0,00532255625343082;0,0283869666849644;0,00407068;0,113547866739858
"227";"18_48";"p7_A7";18;48;"Eyach";"#3";NA;154;0,0947275051115364;0,00137286239292082;0,00321538823605138;0,00133673443521238;0,00111996668896172;0,0877186813160986;0,00137286239292082;0,00267346887042476;0,00270959682813318;0,00986293245440482;0,0100074442852386;0,0127892970287887;0,00404633126334556;0,0268069446196645;0,00022446;0,259760015923702
"303";"20_5";"p7_E1";20;5;"Eyach";"#3";NA;145;0,00175989137380777;0,00159618054833727;0,0085948183372007;0,000613915595514338;0,0380218392155212;0,101337000966233;0,000450204770043846;0,0141200586968297;0,00192360219927825;0,00789904732895113;0,0121555287911839;0,0136698539267859;0,00188267449291063;0,0725238956834271;0,238648;0,276548511926025
"478";"9_18";"p3_G4";9;18;"Eyach";"#3";NA;203;0,0535066511007099;0,00495049971633399;0,00379538311585606;0,00717822458868428;0,00944720362533738;0,0222359945592002;0,00672442878135367;0,017326749007169;0,00639439546693142;0,0320957398275653;0,0254950735391201;0,0279290692329843;0,0120462159764127;0,0916667530807843;0,0528515;0,320792381618443
"127";"13_37";"p5_B10";13;37;"Eyach";"#3";NA;119;0,00598182223739561;0,0179454667121868;0;0;0,0777636890861431;0,179454667121868;0,0299091111869781;0;0;0,0119636444747912;0;0,0119636444747912;0;0,0358909334243737;0,00473476;0,370872978718528
"240";"19_23";"p7_C2";19;23;"Eyach";"#3";NA;134;0,00680985500476376;0,000825436970274399;0,000206359242568599;0,00165087394054879;0,00206359242568599;0,217915360152441;0,00557169954935218;0,0105243213709986;0,00165087394054879;0,00660349576219517;0,0412718485137199;0,00969888440072417;0,00330174788109759;0,0635586467111287;0,00390257;0,371652995866047
"14";"1_39";"p1_B7";1;39;"Eyach";"#3";NA;82;0,0307811193989724;0,00223469485097926;0,00259512950436301;0,0182379934612178;0,0614180649365912;0,444488014552842;0,0250141649448323;0,00454147663263527;0,00158591247488851;0,00778538851308903;0,0101642572254218;0,0397198988028894;0,00446938970195851;0,171206460357282;0,00372145;0,824241965357962
"103";"12_30";"p4_G12";12;30;"Eyach";"#3";NA;123;0,00407646595826994;0,00077122328940242;0,00077122328940242;0,00176279609006267;0,022585824903928;0,645183368962939;0,0256707180615376;0,0122293978748098;0,00165262133443376;0,035806795579398;0,0182890094344003;0,0250096695277642;0,00870380569468446;0,0969537849534467;0,495587;0,899466704954479
"285";"2_7";"p1_C12";2;7;"Eyach";"#3";NA;93;0,0850362712841919;0,0564883802102132;0,00364441162646537;0,00971843100390765;0,0990065158523091;0,303700968872114;0,129376612739521;0,0182220581323268;0,00607401937744228;0,124517397237567;0,0455551453308172;0,0321923027004441;0,0042518135642096;0,0813918596577265;0,00262169;0,999176187589255
"387";"3_6";"p1_F8";3;6;"Eyach";"#3";NA;115;0,340267042247093;0,0212231351988039;0,00386451118545385;0,002977574192071;0,0864763568548281;0,26063277076979;0,00259745833776406;0,0508721718347451;0,00633526423844894;0,0324365529008586;0,0445369075962961;0,0384550539273851;0,00981965956959586;0,14647130919294;0,128075;1,04696576804607
