tray;pot;position;genotype;treatment
3;4;3_4;HE;#3
3;40;3_40;Tu-Wal_acd6;#1
3;41;3_41;Lu;#1
3;42;3_42;Schl;#2
3;43;3_43;Lu;#2
3;44;3_44;Tu-Wal_acd6;Control
3;45;3_45;Tu-Wal_ics1;#3
3;46;3_46;Eyach;#1
3;47;3_47;Col0;#1
3;48;3_48;Col0;#2
3;5;3_5;Eyach;#2
3;6;3_6;Tu-Wal_ics1;#1
3;7;3_7;Schl;Control
3;8;3_8;Tu-Wal_ics1;#2
3;9;3_9;HE;#1+s13
4;1;4_1;Col0;#3
4;10;4_10;Tu-Wal_ics1;#3
4;11;4_11;Eyach;#3
4;12;4_12;Lu;Control
4;13;4_13;Eyach;Control
4;14;4_14;Schl;#3
4;15;4_15;Tu-Wal;#1
4;16;4_16;HE;#2
4;17;4_17;Tu-Wal;#3
4;18;4_18;Col0_acd6;Control
4;19;4_19;Tu-Wal_ics1;#2
4;2;4_2;Col0;#2
4;20;4_20;sid2-2;#3
4;21;4_21;Schl;#2
4;22;4_22;HE;#1+s13
4;23;4_23;Lu;#2
4;24;4_24;Tu-Wal_ics1;#1
4;25;4_25;HE;#1+s17
4;26;4_26;sid2-2;#1
4;27;4_27;Kus;#2
4;28;4_28;HE;Control
4;29;4_29;Eyach;#1
4;3;4_3;Schl;Control
4;30;4_30;Schl;#1
4;31;4_31;Col0_acd6;#2
4;32;4_32;Tu-Wal_acd6;#3
4;33;4_33;HE;#1
4;34;4_34;Kus;#1
4;35;4_35;Col0_acd6;#1
4;36;4_36;Tu-Wal;#2
4;37;4_37;HE;#3
4;38;4_38;sid2-2;#2
4;39;4_39;Tu-Wal_ics1;Control
4;4;4_4;Col0;Control
4;40;4_40;Lu;#1
4;41;4_41;Tu-Wal_acd6;#2
4;42;4_42;Tu-Wal_acd6;Control
4;43;4_43;HE;#1+s15
4;44;4_44;Tu-Wal;Control
4;45;4_45;Col0;#1
4;46;4_46;Kus;#3
4;47;4_47;Lu;#3
4;48;4_48;Col0_acd6;#3
4;5;4_5;Tu-Wal_acd6;#1
4;6;4_6;HE;#1+s14
4;7;4_7;Kus;Control
4;8;4_8;Eyach;#2
4;9;4_9;sid2-2;Control
5;1;5_1;HE;#1+s15
5;10;5_10;sid2-2;#2
5;11;5_11;Kus;#1
5;12;5_12;Lu;#2
5;13;5_13;Tu-Wal_acd6;#3
5;14;5_14;Schl;#1
5;15;5_15;Col0_acd6;#1
5;16;5_16;sid2-2;#3
5;17;5_17;HE;#1+s13
5;18;5_18;Tu-Wal;#2
5;19;5_19;Eyach;#3
5;2;5_2;Col0;#2
5;20;5_20;Lu;Control
5;21;5_21;HE;#2
5;22;5_22;Schl;#3
5;23;5_23;Tu-Wal;#3
5;24;5_24;Col0;Control
5;25;5_25;Col0_acd6;Control
5;26;5_26;Tu-Wal;Control
5;27;5_27;Eyach;Control
5;28;5_28;Tu-Wal_acd6;Control
5;29;5_29;sid2-2;Control
5;3;5_3;Kus;Control
5;30;5_30;Tu-Wal;#1
5;31;5_31;Lu;#3
5;32;5_32;Schl;#2
5;33;5_33;Col0_acd6;#3
5;34;5_34;Tu-Wal_ics1;Control
5;35;5_35;Lu;#1
5;36;5_36;Eyach;#2
5;37;5_37;HE;Control
5;38;5_38;Kus;#3
